ejes tiempo
1000 3174027.000000
501000 864595245.000000
1001000 1967272268.000000
1501000 3355960345.000000
2001000 4748880856.000000
2501000 6414425824.000000
3001000 8097050778.000000
3501000 10045622488.000000
4001000 11835838106.000000
4501000 13983361751.000000
5001000 16239579722.000000
5501000 19401483294.000000
6001000 21606346848.000000
6501000 25155075184.000000
7001000 29300024238.000000
7501000 34273564647.000000
