precision tiempo
0.100000000000000 55810047.000000
0.010000000000000 52458251.000000
0.001000000000000 57983590.000000
0.000100000000000 55158688.000000
0.000010000000000 98100896.000000
0.000001000000000 118667200.000000
0.000000100000000 102188480.000000
0.000000010000000 145983024.000000
0.000000001000000 149181289.000000
0.000000000100000 163841820.000000
0.000000000010000 184733119.000000
0.000000000001000 154294415.000000
0.000000000000100 205430382.000000
0.000000000000010 212090359.000000
0.000000000000001 236032872.000000
