nodos esp noesp
10 41283.000000 124946.000000
60 155157.000000 2898138.000000
110 223612.000000 19999940.000000
160 249352.000000 98694948.000000
210 407649.000000 276188865.000000
260 751378.000000 475283626.000000
310 489618.000000 643931199.000000
360 512720.000000 1102194687.000000
410 595743.000000 875610411.000000
460 971768.000000 2235818274.000000
510 913688.000000 8038580008.000000
560 1215474.000000 5568391056.000000
610 921300.000000 8976954014.000000
