precision indice tiempo
0.100000000000000 1 55810047.000000
0.010000000000000 2 52458251.000000
0.001000000000000 3 57983590.000000
0.000100000000000 4 55158688.000000
0.000010000000000 5 98100896.000000
0.000001000000000 6 118667200.000000
0.000000100000000 7 102188480.000000
0.000000010000000 8 145983024.000000
0.000000001000000 9 149181289.000000
0.000000000100000 10 163841820.000000
0.000000000010000 11 184733119.000000
0.000000000001000 12 154294415.000000
0.000000000000100 13 205430382.000000
0.000000000000010 14 212090359.000000
0.000000000000001 15 236032872.000000
